Movie Title,Movie Title (loop),Year,Studio,Total Gross,Theaters,Opening,Open,Close,Rated,Runtime (Minutes),Director,Tweets,Followers,Following,Favorites Count,Actor 1,Actor 2,Rotten Tomatoes (%),Metacritic,IMDB Rating,Production Studio,Month,Season,View Count,Video Title,Like Count,Dislike Count,Comment Count
Maleficent,Maleficent,2014,BV,241410378,"3,948",69431298,30-May,4-Dec,PG,97,Robert Stromberg,#N/A,#N/A,#N/A,#N/A,Angelina Jolie, Elle Fanning,51,56,70,Walt Disney Pictures,5,Spring,18268900,Disney's Maleficent - Official Trailer 3,49978,2616,6189
X-Men: Days of Future Past,X-Men: Days of Future Past,2014,Fox,233921534,"4,001",90823660,23-May,9-Oct,PG-13,132,Bryan Singer,#N/A,#N/A,#N/A,#N/A,Hugh Jackman, James McAvoy,90,74,80,20th Century Fox,5,Spring,34737717,X-MEN: DAYS OF FUTURE PAST - Official Trailer (2014),129625,6252,28801
Big Hero 6,Big Hero 6,2014,BV,222527828,"3,773",56215889,7-Nov,28-May,PG,102,Don Hall,#N/A,#N/A,#N/A,#N/A,Scott Adsit, Ryan Potter,89,74,78,Walt Disney Pictures,11,Fall,5312657,Big Hero 6 Official Trailer #1 (2014) - Disney Animation Movie HD,14856,629,1275
Star Wars: The Force Awakens,Star Wars: The Force Awakens,2015,BV,936662225,"4,134",247966675,18-Dec,2-Jun,PG-13,136,J.J. Abrams,#N/A,#N/A,#N/A,#N/A,Harrison Ford, Mark Hamill,93,81,80,Walt Disney Pictures,12,Fall,101335287,Star Wars: The Force Awakens Trailer (Official),710478,22153,126308
Jurassic World,Jurassic World,2015,Uni.,652270625,"4,291",208806270,12-Jun,19-Nov,PG-13,124,Colin Trevorrow,875,60054,180,664,Chris Pratt, Bryce Dallas Howard,71,59,70,Universal Pictures,6,Spring,49344097,Jurassic World: Fallen Kingdom - Official Trailer [HD],597261,31023,71525
Avengers: Age of Ultron,Avengers: Age of Ultron,2015,BV,459005868,"4,276",191271109,1-May,8-Oct,PG-13,141,Joss Whedon,1722,226532,583,44107,Robert Downey Jr., Chris Hemsworth,75,66,74,Walt Disney Pictures,5,Spring,82736754,"Marvel's ""Avengers: Age of Ultron"" - Teaser Trailer (OFFICIAL)",551820,13050,79755
Inside Out,Inside Out,2015,BV,356461711,"4,158",90440272,19-Jun,10-Dec,PG,95,Pete Docter,#N/A,#N/A,#N/A,#N/A,Amy Poehler, Phyllis Smith,98,94,82,Disney/Pixar,6,Spring,17520326,Inside Out Official Trailer #2 (2015) - Disney Pixar Movie HD,48132,2258,5044
Furious 7,Furious 7,2015,Uni.,353007020,"4,022",147187040,3-Apr,24-Jul,PG-13,137,James Wan,3721,180238,136,4862,Vin Diesel, Paul Walker,80,67,72,Universal Pictures,4,Spring,69377205,Furious 7 - Official Trailer (HD),327059,9975,23452
Minions,Minions,2015,Uni.,336045770,"4,311",115718405,10-Jul,17-Dec,PG,91,Kyle Balda,#N/A,#N/A,#N/A,#N/A,Sandra Bullock, Jon Hamm,56,56,64,Universal Pictures,7,Summer,28743113,Minions Official Trailer #1 (2015) - Despicable Me Prequel HD,75425,4283,3396
The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,2015,LGF,281723902,"4,175",102665981,20-Nov,25-Feb,PG-13,137,Francis Lawrence,245,42473,89,7,Jennifer Lawrence, Josh Hutcherson,70,65,65,Lionsgate Films,11,Fall,21710833,The Hunger Games: Mockingjay Part 2 Official Trailer – “We March Together”,138505,4004,12719
The Martian,The Martian,2015,Fox,228433663,"3,854",54308575,2-Oct,17-Mar,PG-13,144,Ridley Scott,#N/A,#N/A,#N/A,#N/A,Matt Damon, Jessica Chastain,91,80,80,20th Century Fox,10,Fall,15137039,The Martian | Official Trailer [HD] | 20th Century FOX,45625,1500,5175
Cinderella (2015),Cinderella ,2015,BV,201151353,"3,848",67877361,13-Mar,17-Sep,PG,105,Kenneth Branagh,#N/A,#N/A,#N/A,#N/A,Cate Blanchett, Lily James,84,67,69,Walt Disney Pictures,3,Winter,4631502,"Cinderella Official Trailer #1 (2015) - Helena Bonham Carter, Lily James Disney Movie HD",19725,706,1635
Spectre,Spectre,2015,Sony,200074609,"3,929",70403148,6-Nov,7-Apr,PG-13,148,Sam Mendes,#N/A,#N/A,#N/A,#N/A,Daniel Craig, Christoph Waltz,63,60,68,Sony Pictures,11,Fall,14799173,007 Spectre Official Trailer #2 (2015) Daniel Craig James Bond Movie HD,31229,1497,3043
Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,2016,BV,532177324,4157,155081681,43450,43224,PG-13,133,Gareth Edwards,#N/A,#N/A,#N/A,#N/A,Felicity Jones, Diego Luna,85,65,78,Walt Disney Pictures,12,Fall,37062630,Rogue One: A Star Wars Story Trailer (Official),296365,11858,60254
Finding Dory,Finding Dory,2016,BV,486295561,4305,135060273,43268,43442,PG,97,Andrew Stanton,5046,58290,579,4311,Ellen DeGeneres, Albert Brooks,94,77,74,Walt Disney Pictures/PIXAR,6,Spring,4818444,"Finding Dory Official Trailer #2 (2016) - Ellen DeGeneres, Albert Brooks Movie HD",22457,777,1619
Captain America: Civil War,Captain America: Civil War,2016,BV,408084349,4226,179139142,43226,43365,PG-13,147,Anthony Russo,#N/A,#N/A,#N/A,#N/A,Chris Evans, Robert Downey Jr.,91,75,78,Walt Disney Pictures,5,Spring,78295618,Marvel's Captain America: Civil War - Trailer 2,660949,14721,141470
